,w_b
0,0.0023829356112363286
1,-0.01682994172193429
2,0.023907755896275376
3,-0.010516921216853487
4,0.022823171158123923
5,-0.026935925132419512
6,0.017988853390785462
7,-0.005177811452206335
8,-0.002713158088463002
9,-0.0026089704144493875
10,0.028822520097556783
11,-0.005772989451641049
12,0.0051179629163688655
13,-0.009080882849372947
14,0.012634735480372427
15,0.01015597290955979
16,-0.011855916877489566
17,-0.010651468402222884
18,-0.009467493895672738
19,-0.003973421480620619
20,0.005815608890188136
21,0.009848212050917403
22,0.019821342096919076
23,-0.009082553661352485
24,-0.010194457500972493
25,0.0007823470871483659
26,0.003675869831713462
27,0.0027590115173994952
28,-0.022417843220049683
29,0.020196809760070693
30,-0.012438963028441283
31,0.0014114059523779123
32,0.017242942704784256
33,0.016244337603105403
34,0.003200996146584981
35,0.01441475364783976
36,0.007094726606221382
37,0.0059366912506378725
38,0.02409619404808943
39,-0.006336510791971786
40,0.012887961106570534
41,0.008586183473861102
42,-0.00870561813964059
43,0.0008700802583697098
44,-0.005996459437831754
45,-0.003553586833336522
46,0.03126912467493251
47,-0.0006556514553788869
48,0.0002435725503165012
49,0.026883249257201286
50,-0.0006333888737736913
51,-0.007978141786085767
52,0.00904154904166616
53,0.0016438081996478576
54,0.008796029706258845
55,-0.014254685475263349
56,-0.0032956274466586595
57,0.002834486655853608
58,-0.018935432665993582
59,0.4217835287686855
60,-0.002583532431550904
61,-0.02496546381597627
62,0.023488985901234646
63,-0.018754181871513367
64,-0.0025598564040230517
65,0.004219381407770348
66,-0.01192891133062
67,0.007512396511345442
68,-0.0075614742480538235
69,-0.00713226441193233
70,-0.0020584046573857723
71,0.014913079620430605
72,0.007374158174171315
73,-0.001262809196098127
74,0.013701692026425988
75,-0.009329558763648457
76,-0.0095347923031468
77,0.0019164312620165674
78,0.0003221655105186516
79,0.002101999690350182
80,0.00737793280484978
81,-0.022543217899097055
82,0.011025863164914353
83,-0.00535067270179936
84,-0.006811349475470943
85,-0.01867203903408198
86,-0.011896944081520184
87,0.021912704831030153
88,0.0040494240996395555
89,-0.27628408580973873
90,-0.00336125055275943
91,0.010331892834769065
92,-0.021133968862946398
93,0.015089844491742397
94,-0.011625204426995958
95,-0.02754122815251392
96,0.0013633497619270018
97,-0.004803419231361355
98,-0.014743308597968323
99,-0.02087952514573592
100,-0.0005716368326931505
101,-0.00761765736448398
102,-0.023434101367411603
103,-0.01158427517406269
104,-0.0016263524871007987
105,-0.010709263338317123
106,0.022376686785403208
107,-0.004272664283077224
108,-0.3735620820115097
109,-0.006589439179947413
110,-0.006436792273711071
111,0.007942943318968445
112,-0.004889803247745024
113,-0.009110890083638919
114,0.007094130282652657
115,0.019012974775418086
116,-0.005938049541968335
117,0.025792148832232364
118,0.011207772311126843
119,0.027866226769207986
120,0.018783969495417822
121,-0.017711091017769513
122,0.003682533904911821
123,0.0084896990560406
124,0.01118560302321718
125,0.0038430117901418854
126,0.013215874495250367
127,0.0019841628758227336
128,-0.013847513984898306
129,-0.00164662139475678
130,0.0033089151650498236
131,-0.007035584739446507
132,-0.00781281727022014
133,0.01488991614669666
134,0.0001462709221256701
135,-0.00841477294948059
136,0.012193438794950736
137,-0.001371686646293109
138,0.013189051624069473
139,-0.0311621403673596
140,0.0021396813946676827
141,-0.01969807259727893
142,0.002790797196667827
143,0.019548183076788864
144,0.013174627263666115
145,0.006486688768600331
146,-0.007862233377346216
147,0.0009062627273879333
148,-0.004720162441673618
149,-0.005121102723986406
150,-0.006209061716250198
151,0.011633243181894784
152,-0.003292995220980049
153,-0.02331793041699315
154,0.003509081061186575
155,-0.27974217317796224
156,0.032011416608368315
157,0.02494130496565532
158,-0.010082924023717733
159,-0.028930147692909202
160,0.002009520993372471
161,0.013123693840598239
162,-0.01582713387735516
163,0.0032809526841399007
164,0.0014181639754884804
165,-0.004789505615508024
166,-0.00981543007168444
167,0.0047800632599005076
168,-0.005503173696180401
169,-0.004949368291128233
170,-0.01910675304658086
171,-0.008492016202237478
172,0.2894868947426873
173,0.008506126880854292
174,-0.016365482295292128
175,-0.0005365235123400652
176,0.013921355445502253
177,7.291249540767633e-05
178,-0.004169284955042223
179,-0.005899961407826361
180,0.007694430685905065
181,-0.011648120174151594
182,-0.004391285212312884
183,0.02098823617001427
184,-0.016625869127734942
185,7.451764035234102e-05
186,-0.023133678898704522
187,-0.008678535175482833
188,-0.0014394314964650556
189,0.017050293023457962
190,-0.0017465399550364868
191,0.0008685371664713216
192,0.009405396810053637
193,0.0193444427153392
194,0.0015728741367990852
195,-0.007492911023992931
196,-0.017027316017400474
197,-0.007200962235589466
198,-0.006735946925838786
199,-0.004389071550553059
200,1.156007840327803
