,w_b
0,0.0023397437287642534
1,-0.01680708172588552
2,0.023931963564182035
3,-0.010569815549310174
4,0.022775563288980477
5,-0.02697480896614593
6,0.018026872916989536
7,-0.005157302812208651
8,-0.0027416654100412556
9,-0.0025569217971891317
10,0.028847377572049103
11,-0.005738152803040462
12,0.005121905241716454
13,-0.009077935812492702
14,0.012531080313354908
15,0.010175204099623556
16,-0.01182307998252588
17,-0.01068568866852864
18,-0.00946272167403486
19,-0.003881226324504338
20,0.005847420638798975
21,0.009932367167675196
22,0.019785353107004782
23,-0.009100682096488833
24,-0.010188196343110481
25,0.0007358318585343283
26,0.0036395116930347847
27,0.0027734000325397175
28,-0.02244233073229417
29,0.02021110672247576
30,-0.012444496177545701
31,0.0013717570089512533
32,0.017266943910548
33,0.016290963306002628
34,0.003224834265903127
35,0.014461487925711608
36,0.007128236456318479
37,0.005908592727051259
38,0.02409909020933798
39,-0.006266851793495254
40,0.012860474150059342
41,0.008666084697648829
42,-0.008677924397449112
43,0.000940267835591181
44,-0.006023995821260398
45,-0.003559512487584409
46,0.03127466668788234
47,-0.0006989860229286941
48,0.0001980308717035237
49,0.02689169085887422
50,-0.0006629719029636363
51,-0.007981266332533102
52,0.009123317360701152
53,0.001671038374275613
54,0.008782376456205093
55,-0.014193153370058739
56,-0.0033029054749767767
57,0.002762402000416037
58,-0.01891484554674575
59,0.4217715737497656
60,-0.0026257872318970195
61,-0.02500418671719685
62,0.023448183244909392
63,-0.018769668700727226
64,-0.0025571190876350156
65,0.004158453323190173
66,-0.011851449644794766
67,0.007404596080854172
68,-0.007606085550268109
69,-0.007136420794426617
70,-0.002003379348739657
71,0.014883347252063014
72,0.00739770864760979
73,-0.001322826115527889
74,0.01369837084933397
75,-0.009298065316313069
76,-0.009432190244047147
77,0.001874354259323855
78,0.0002962858348700975
79,0.0021728566764173053
80,0.0073555724281302946
81,-0.022530036609402868
82,0.011048268269701969
83,-0.00537212651527814
84,-0.006835404167152987
85,-0.018565238566946238
86,-0.011897548790828926
87,0.021933674622856055
88,0.004058467016193813
89,-0.2763066862370846
90,-0.0033052746131176053
91,0.010388551041945188
92,-0.021121347973146305
93,0.01509239434988126
94,-0.011648499763604572
95,-0.0275300348428013
96,0.0013049607508868082
97,-0.004766626746665371
98,-0.014785210372322746
99,-0.02093179588393981
100,-0.000584930761887836
101,-0.007606512149130154
102,-0.02338699490904145
103,-0.011490351578180272
104,-0.0016826605214674425
105,-0.010708715105939248
106,0.022286645016438105
107,-0.004395268353988993
108,-0.3735652118677559
109,-0.00658534303769235
110,-0.006413758955580274
111,0.008018288082639565
112,-0.004964100312114773
113,-0.009010411045247156
114,0.007149505325546785
115,0.019124694065390545
116,-0.005925321772656587
117,0.02579517481081711
118,0.011255781966490856
119,0.027904792172423153
120,0.01874665549363094
121,-0.017679335812831765
122,0.0037123683948102476
123,0.008563579305510162
124,0.011149503993288587
125,0.0038559311201185244
126,0.013273493207679737
127,0.001839613275728501
128,-0.013836661293911515
129,-0.0016836810573587276
130,0.0033289681167492664
131,-0.006970690592062355
132,-0.007840887434090792
133,0.014878872975004067
134,0.00012521592561499104
135,-0.008389479205902632
136,0.012204291496289987
137,-0.0013005123197076867
138,0.013227113876419186
139,-0.031109822255389174
140,0.0021611024159678112
141,-0.019700330047885503
142,0.0028691652105202648
143,0.019466450129583937
144,0.013170778995072106
145,0.006520288823560992
146,-0.007874004679685008
147,0.0008791671386319947
148,-0.004770668385956798
149,-0.005051142511849662
150,-0.006190853287007114
151,0.011619419988973693
152,-0.003254934199903784
153,-0.02336877495337602
154,0.003504239240145968
155,-0.2797750616468765
156,0.03207396890186254
157,0.024901863960743748
158,-0.010019358617613126
159,-0.029002645946178497
160,0.0020746225966942968
161,0.013147862976269983
162,-0.015856025840689177
163,0.003217165408981064
164,0.001451123864600805
165,-0.004871900377287329
166,-0.00982261477601927
167,0.004834192754207396
168,-0.005569495025184589
169,-0.004939598673199056
170,-0.01905858728109005
171,-0.008490631022214623
172,0.2894995501943649
173,0.00850516793258602
174,-0.01640502524809746
175,-0.0005820885752856748
176,0.013824701129705174
177,0.00015776319927379514
178,-0.004171927004151229
179,-0.005894340999221302
180,0.007632172781464981
181,-0.011667641893893826
182,-0.004437957909002817
183,0.02101111315671942
184,-0.016662679337654102
185,9.35768625450098e-05
186,-0.023176988783512504
187,-0.008668947780111394
188,-0.0013963168067852698
189,0.017036749562520114
190,-0.0017199924252139383
191,0.0008915950755035788
192,0.009395326848373948
193,0.01935345002786546
194,0.0015386059949632003
195,-0.007518404447823797
196,-0.01695469067288975
197,-0.007182490951043879
198,-0.006729667082385027
199,-0.004399667891395701
200,1.1560151386335
